date,tournament,home_team,away_team,home_score,away_score
2026-06-11,FIFA World Cup,Mexico,South Africa,2,0
2026-06-11,FIFA World Cup,South Korea,Czech Republic,2,1
2026-06-12,FIFA World Cup,Canada,Bosnia and Herzegovina,1,1
2026-06-12,FIFA World Cup,United States,Paraguay,4,1
2026-06-13,FIFA World Cup,Australia,Turkey,2,0
2026-06-13,FIFA World Cup,Brazil,Morocco,1,1
2026-06-13,FIFA World Cup,Haiti,Scotland,0,1
2026-06-13,FIFA World Cup,Qatar,Switzerland,1,1
2026-06-14,FIFA World Cup,Germany,Curaçao,7,1
2026-06-14,FIFA World Cup,Ivory Coast,Ecuador,1,0
2026-06-14,FIFA World Cup,Netherlands,Japan,2,2
2026-06-14,FIFA World Cup,Sweden,Tunisia,5,1
2026-06-15,FIFA World Cup,Belgium,Egypt,1,1
2026-06-15,FIFA World Cup,Iran,New Zealand,2,2
2026-06-15,FIFA World Cup,Saudi Arabia,Uruguay,1,1
2026-06-15,FIFA World Cup,Spain,Cape Verde,0,0
2026-06-16,FIFA World Cup,Argentina,Algeria,3,0
2026-06-16,FIFA World Cup,Austria,Jordan,3,1
2026-06-16,FIFA World Cup,France,Senegal,3,1
2026-06-16,FIFA World Cup,Iraq,Norway,1,4
2026-06-17,FIFA World Cup,England,Croatia,4,2
2026-06-17,FIFA World Cup,Ghana,Panama,1,0
2026-06-17,FIFA World Cup,Portugal,DR Congo,1,1
2026-06-17,FIFA World Cup,Uzbekistan,Colombia,1,3
2026-06-18,FIFA World Cup,Canada,Qatar,6,0
2026-06-18,FIFA World Cup,Czech Republic,South Africa,1,1
2026-06-18,FIFA World Cup,Mexico,South Korea,1,0
2026-06-18,FIFA World Cup,Switzerland,Bosnia and Herzegovina,4,1
2026-06-19,FIFA World Cup,Brazil,Haiti,3,0
2026-06-19,FIFA World Cup,Scotland,Morocco,0,1
2026-06-19,FIFA World Cup,Turkey,Paraguay,0,1
2026-06-19,FIFA World Cup,United States,Australia,2,0
2026-06-20,FIFA World Cup,Ecuador,Curaçao,0,0
2026-06-20,FIFA World Cup,Germany,Ivory Coast,2,1
2026-06-20,FIFA World Cup,Netherlands,Sweden,5,1
2026-06-20,FIFA World Cup,Tunisia,Japan,0,4
2026-06-21,FIFA World Cup,Belgium,Iran,0,0
2026-06-21,FIFA World Cup,New Zealand,Egypt,1,3
2026-06-21,FIFA World Cup,Spain,Saudi Arabia,4,0
2026-06-21,FIFA World Cup,Uruguay,Cape Verde,2,2
2026-06-22,FIFA World Cup,Argentina,Austria,2,0
2026-06-22,FIFA World Cup,France,Iraq,3,0
2026-06-22,FIFA World Cup,Jordan,Algeria,1,2
2026-06-22,FIFA World Cup,Norway,Senegal,3,2
2026-06-23,FIFA World Cup,Colombia,DR Congo,1,0
2026-06-23,FIFA World Cup,England,Ghana,0,0
2026-06-23,FIFA World Cup,Panama,Croatia,0,1
2026-06-23,FIFA World Cup,Portugal,Uzbekistan,5,0
2026-06-24,FIFA World Cup,Bosnia and Herzegovina,Qatar,3,1
2026-06-24,FIFA World Cup,Canada,Switzerland,1,2
2026-06-24,FIFA World Cup,Mexico,Czech Republic,3,0
2026-06-24,FIFA World Cup,Morocco,Haiti,4,2
2026-06-24,FIFA World Cup,Scotland,Brazil,0,3
2026-06-24,FIFA World Cup,South Africa,South Korea,1,0
2026-06-25,FIFA World Cup,Curaçao,Ivory Coast,0,2
2026-06-25,FIFA World Cup,Ecuador,Germany,2,1
2026-06-25,FIFA World Cup,Japan,Sweden,1,1
2026-06-25,FIFA World Cup,Paraguay,Australia,0,0
2026-06-25,FIFA World Cup,Tunisia,Netherlands,1,3
2026-06-25,FIFA World Cup,United States,Turkey,2,3
